cue,anexo,nombre_estab,lat,lng,municipio,Provincia,nivel,sector de gestión,Matricula est 5to,coords,zona_id
617708,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº75,-34.881394,-58.03368,La Plata,Buenos Aires,Nivel Secundario,Estatal,33.0,"(-34.881394, -58.033680000000004)",S000721
617721,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº76,-34.976994,-58.059955,La Plata,Buenos Aires,Nivel Secundario,Estatal,22.0,"(-34.976994, -58.059955)",S000722
617717,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº77,-34.956563,-58.004921,La Plata,Buenos Aires,Nivel Secundario,Estatal,45.0,"(-34.956563, -58.004920999999996)",S000723
620436,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº78,-34.950727,-58.054711,La Plata,Buenos Aires,Nivel Secundario,Estatal,49.0,"(-34.950727, -58.054711)",S000724
620404,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº80,-34.942241,-57.960337,La Plata,Buenos Aires,Nivel Secundario,Estatal,45.0,"(-34.942240999999996, -57.960337)",S000052
617696,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº81,-34.951803,-57.901357,La Plata,Buenos Aires,Nivel Secundario,Estatal,27.0,"(-34.951803000000005, -57.901357)",S000725
617700,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº82,-34.953892,-57.887181,La Plata,Buenos Aires,Nivel Secundario,Estatal,29.0,"(-34.953891999999996, -57.887181000000005)",S000726
617707,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº83,-34.89108,-58.026582,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0,"(-34.89108, -58.026582)",S000727
617725,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº84,-34.928738,-58.047928,La Plata,Buenos Aires,Nivel Secundario,Estatal,20.0,"(-34.928738, -58.047928000000006)",S000728
617715,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº85,-34.882567,-57.98316,La Plata,Buenos Aires,Nivel Secundario,Estatal,13.0,"(-34.882567, -57.98316)",S000729
617712,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº86,-34.944383,-58.089306,La Plata,Buenos Aires,Nivel Secundario,Estatal,59.0,"(-34.944383, -58.08930600000001)",S000730
617697,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº88,-34.85146,-58.07383,La Plata,Buenos Aires,Nivel Secundario,Estatal,33.0,"(-34.851459999999996, -58.07383000000001)",S000212
617724,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº89,-34.941885,-57.99045,La Plata,Buenos Aires,Nivel Secundario,Estatal,25.0,"(-34.941885, -57.99045)",S000731
617731,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº90,-34.956111,-57.984042,La Plata,Buenos Aires,Nivel Secundario,Estatal,40.0,"(-34.956111, -57.984042)",S000732
617691,0,ESCUELA DE EDUCACIÓN SECUNDARIA N°91,-35.01056,-58.051685,La Plata,Buenos Aires,Nivel Secundario,Estatal,24.0,"(-35.01056, -58.051685)",S000733
620459,0,ESCUELA DE EDUCACIÓN SECUNDARIA N°92,-34.893131,-57.970175,La Plata,Buenos Aires,Nivel Secundario,Estatal,20.0,"(-34.893131, -57.970175)",S000734
617730,0,ESCUELA DE EDUCACIÓN SECUNDARIA N°93,-34.906425,-58.021181,La Plata,Buenos Aires,Nivel Secundario,Estatal,14.0,"(-34.906425, -58.021181000000006)",S000735
608909,1,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº13,-34.928924,-57.96679,La Plata,Buenos Aires,Nivel Secundario,Estatal,10.0,"(-34.928924, -57.96679)",S000051
608892,1,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº26,-34.927372,-57.934396,La Plata,Buenos Aires,Nivel Secundario,Estatal,10.0,"(-34.927372, -57.934396)",S000736
606261,1,EXTENSIÓN Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº28,-34.857187,-58.075413,La Plata,Buenos Aires,Nivel Secundario,Estatal,37.0,"(-34.857186999999996, -58.075413)",S000737
608910,1,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº4,-34.861456,-58.036958,La Plata,Buenos Aires,Nivel Secundario,Estatal,4.0,"(-34.861456, -58.036958)",S000738
606222,1,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº9,-34.995696,-58.045697,La Plata,Buenos Aires,Nivel Secundario,Estatal,50.0,"(-34.995696, -58.045697)",S000739
607842,1,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº11,-34.912647,-57.993058,La Plata,Buenos Aires,Nivel Secundario,Estatal,22.0,"(-34.912647, -57.993058)",S000210
607842,2,ANEXO II DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº11,-34.899043,-57.988851,La Plata,Buenos Aires,Nivel Secundario,Estatal,23.0,"(-34.899043, -57.988851000000004)",S000740
608890,1,CARLOS VERGARA,-34.899493,-57.949965,La Plata,Buenos Aires,Nivel Secundario,Estatal,9.0,"(-34.899493, -57.949965)",S000098
617717,1,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº77,-34.969807,-58.021656,La Plata,Buenos Aires,Nivel Secundario,Estatal,29.0,"(-34.969807, -58.02165600000001)",S000741
620459,1,ANEXO DE ESCUELA DE EDUCACIÓN SECUNDARIA N° 92,-34.888739,-57.981239,La Plata,Buenos Aires,Nivel Secundario,Estatal,15.0,"(-34.888739, -57.981239)",S000742
620475,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,-37.183635,-62.76275,Adolfo Alsina,Buenos Aires,Nivel Secundario,Estatal,41.0,"(-37.183634999999995, -62.76275)",S000743
622462,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,-37.163461,-63.247796,Adolfo Alsina,Buenos Aires,Nivel Secundario,Estatal,9.0,"(-37.163461, -63.247795999999994)",S000744
608066,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4,-36.797209,-63.342913,Adolfo Alsina,Buenos Aires,Nivel Secundario,Estatal,18.0,"(-36.797209, -63.342913)",S000745
617252,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,-37.180074,-62.761938,Adolfo Alsina,Buenos Aires,Nivel Secundario,Estatal,12.0,"(-37.180074, -62.761938)",S000216
620475,1,EXTENSION I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,-37.170868,-62.726011,Adolfo Alsina,Buenos Aires,Nivel Secundario,Estatal,3.0,"(-37.170868, -62.726011)",S000746
617252,1,EXTENSION Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,-37.185159,-62.76892,Adolfo Alsina,Buenos Aires,Plan Fines (Trayectos y Deudores),Estatal,19.0,"(-37.185159000000006, -62.768919999999994)",S000747
617252,1,EXTENSION Nº1 DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,-37.185159,-62.76892,Adolfo Alsina,Buenos Aires,Nivel Secundario,Estatal,19.0,"(-37.185159000000006, -62.768919999999994)",S000747
622462,1,ANEXO I DE ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,-37.446796,-63.114468,Adolfo Alsina,Buenos Aires,Nivel Secundario,Estatal,6.0,"(-37.446796, -63.114468)",S000748
609638,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""RICARDO GÜIRALDES""",-34.843777,-60.305232,Alberti,Buenos Aires,Nivel Secundario,Estatal,14.0,"(-34.843777, -60.305232)",S000749
609637,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 ""PABLO A. PIZZURNO""",-35.032049,-60.281191,Alberti,Buenos Aires,Nivel Secundario,Estatal,51.0,"(-35.032049, -60.281191)",S000217
617740,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,-35.037213,-60.279655,Alberti,Buenos Aires,Nivel Secundario,Estatal,14.0,"(-35.037213, -60.279655000000005)",S000750
607603,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""DR. ALFREDO L. PALACIOS""",-34.78799,-58.37976,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,73.0,"(-34.78799, -58.37976)",S000218
607603,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº1 ""DR. ALFREDO L. PALACIOS""",-34.78799,-58.37976,Almirante Brown,Buenos Aires,Nivel Medio,Estatal,16.0,"(-34.78799, -58.37976)",S000218
610333,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2,-34.830266,-58.390063,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,118.0,"(-34.830265999999995, -58.390063)",S000099
608069,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,-34.893443,-58.387717,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,121.0,"(-34.893443, -58.387717)",S000219
608069,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº3,-34.893443,-58.387717,Almirante Brown,Buenos Aires,Nivel Medio,Estatal,57.0,"(-34.893443, -58.387717)",S000219
610186,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""LOLA MORA""",-34.806577,-58.332989,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,110.0,"(-34.806577000000004, -58.332989000000005)",S000751
610186,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 ""LOLA MORA""",-34.806577,-58.332989,Almirante Brown,Buenos Aires,Nivel Medio,Estatal,46.0,"(-34.806577000000004, -58.332989000000005)",S000751
607374,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5,-34.860297,-58.393301,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,82.0,"(-34.860296999999996, -58.393301)",S000100
607600,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº6,-34.813402,-58.419221,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,100.0,"(-34.813402, -58.41922099999999)",S000752
610801,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7,-34.897016,-58.396854,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,114.0,"(-34.897016, -58.396854000000005)",S000753
610185,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº8,-34.79468,-58.330213,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,75.0,"(-34.79468, -58.330213)",S000754
610185,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº8,-34.79468,-58.330213,Almirante Brown,Buenos Aires,Nivel Medio,Estatal,33.0,"(-34.79468, -58.330213)",S000754
