,-,Estudiantes (EST),Estudiantes (EST),Nuevos Inscriptos (NI) Reinscriptos (RI),Nuevos Inscriptos (NI) Reinscriptos (RI),Nuevos Inscriptos (NI) Reinscriptos (RI),-,Egresados (EGRE),Egresados (EGRE)
0,Institución,-,,-,,,-,-,
1,-,Abs.,%,Abs.,%,Abs.,%,Abs.,%
2,Total de las instituciones,1.437.611,100,315.593,"100,0",1.122.018,100,80.343,100
3,Total Universidades Nacionales,1.388.587,"96,6",301.841,"95,6",1.086.746,"96,9",76.923,"95,7"
4,Arturo Jauretche,7.824,"0,5",3.982,"1,3",3.842,"0,3",0,
5,Avellaneda,4.523,"0,3",1.957,"0,6",2.566,"0,2",54,"0,1"
6,Buenos Aires,319.866,"22,2",51.697,"16,4",268.169,"23,9",17.129,"21,3"
7,Catamarca,12.015,"0,8",2.821,"0,9",9.194,"0,8",390,"0,5"
8,Centro de la PBA,13.554,"0,9",2.666,"0,8",10.888,"1,0",655,"0,8"
9,Chaco Austral,3.161,"0,2",1.098,"0,3",2.063,"0,2",25,"0,0"
10,Chilecito,3.308,"0,2",595,"0,2",2.713,"0,2",103,"0,1"
11,Comahue,30.923,"2,2",8.911,"2,8",22.012,"2,0",1.059,"1,3"
12,Córdoba,108.373,"7,5",22.318,"7,1",86.055,"7,7",6.910,"8,6"
13,Cuyo,31.587,"2,2",6.816,"2,2",24.771,"2,2",2.361,"2,9"
14,Entre Ríos,14.901,"1,0",4.351,"1,4",10.550,"0,9",1.237,"1,5"
15,Formosa,11.418,"0,8",3.505,"1,1",7.913,"0,7",286,"0,4"
16,Gral. Sarmiento,7.125,"0,5",1.746,"0,6",5.379,"0,5",210,"0,3"
17,José C. Paz (1),3.090,"0,2",3.090,"1,0",0,-,0,
18,Jujuy,14.800,"1,0",3.837,"1,2",10.963,"1,0",199,"0,2"
19,La Matanza,36.338,"2,5",6.237,"2,0",30.101,"2,7",1.983,"2,5"
20,La Pampa,9.100,"0,6",2.281,"0,7",6.819,"0,6",469,"0,6"
21,La Plata,109.803,"7,6",21.374,"6,8",88.429,"7,9",6.094,"7,6"
22,La Rioja,18.589,"1,3",4.878,"1,5",13.711,"1,2",633,"0,8"
23,Lanús,12.825,"0,9",3.262,"1,0",9.563,"0,9",491,"0,6"
24,Litoral,44.268,"3,1",9.937,"3,1",34.331,"3,1",2.155,"2,7"
25,Lomas de Zamora,34.434,"2,4",7.512,"2,4",26.922,"2,4",2.515,"3,1"
26,Luján,18.339,"1,3",5.519,"1,7",12.820,"1,1",888,"1,1"
27,Mar del Plata,23.184,"1,6",4.932,"1,6",18.252,"1,6",1.158,"1,4"
28,Misiones,20.955,"1,5",5.866,"1,9",15.089,"1,3",820,"1,0"
29,Moreno,3.668,"0,3",1.474,"0,5",2.194,"0,2",5,"0,0"
30,Nordeste,50.403,"3,5",11.540,"3,7",38.863,"3,5",3.087,"3,8"
31,Noroeste de la PBA,6.225,"0,4",1.298,"0,4",4.927,"0,4",179,"0,2"
32,Oeste,1.657,"0,1",738,"0,2",919,"0,1",21,"0,0"
33,Patagonia Austral,7.289,"0,5",3.076,"1,0",4.213,"0,4",161,"0,2"
34,Patagonia S. J. Bosco,13.292,"0,9",3.331,"1,1",9.961,"0,9",394,"0,5"
35,Quilmes,22.451,"1,6",5.654,"1,8",16.797,"1,5",839,"1,0"
36,Río Cuarto,15.290,"1,1",3.101,"1,0",12.189,"1,1",909,"1,1"
37,Río Negro,6.988,"0,5",3.343,"1,1",3.645,"0,3",132,"0,2"
38,Rosario,74.234,"5,2",15.143,"4,8",59.091,"5,3",10.016,"12,5"
39,Salta,28.015,"1,9",5.956,"1,9",22.059,"2,0",509,"0,6"
40,San Juan,20.533,"1,4",3.904,"1,2",16.629,"1,5",777,"1,0"
41,San Luis,13.554,"0,9",3.508,"1,1",10.046,"0,9",583,"0,7"
42,San Martín,12.971,"0,9",3.803,"1,2",9.168,"0,8",1.137,"1,4"
43,Santiago del Estero,16.160,"1,1",3.776,"1,2",12.384,"1,1",1.310,"1,6"
44,Sur,18.279,"1,3",3.513,"1,1",14.766,"1,3",1.101,"1,4"
45,Tecnológica Nacional,80.052,"5,6",16.616,"5,3",63.436,"5,7",4.757,"5,9"
46,Tierra del Fuego,571,"0,0",571,"0,2",0,-,0,
47,Tres de Febrero,12.451,"0,9",5.703,"1,8",6.748,"0,6",490,"0,6"
48,Tucumán,63.524,"4,4",11.399,"3,6",52.125,"4,6",2.452,"3,1"
49,Villa María,5.798,"0,4",2.327,"0,7",3.471,"0,31",240,"0,3"
50,Villa Mercedes,879,"0,1",879,"0,3",0,-,0,
51,Total Institutos Universitarios,28.967,"2,0",7.955,"2,5",21.012,"1,9",2.619,"3,3"
52,Aeronáutico,5.616,"0,4",889,"0,3",4.727,"0,4",977,"1,2"
53,Instituto Univ. del Ejército,1.876,"0,1",985,"0,3",891,"0,1",281,"0,3"
54,Gendarmería,1.302,"0,1",451,"0,1",851,"0,1",199,"0,2"
55,IUNA,14.725,"1,0",3.865,"1,2",10.860,"1,0",156,"0,2"
56,Naval,804,"0,1",259,"0,1",545,"0,0",117,"0,1"
57,Policía Federal Argentina,3.293,"0,2",837,"0,3",2.456,"0,2",364,"0,5"
58,Seguridad Marítima,1.351,"0,1",669,"0,2",682,"0,1",525,"0,7"
59,Total Universidad Provincial,20.057,"1,4",5.797,"1,8",14.260,"1,3",801,"1,0"
60,Autónoma de Entre Ríos,20.057,"1,4",5.797,"1,8",14.260,"1,3",801,"1,0"
